brand,description,price_usd,type,clothing_type,clothing_category,type_encoded,brand_encoded,clothing_category_encoded,Colors
NEEDLES,Brown Cowboy Jacket,375,mens,Cowboy Jacket,Jacket,0,366,70,Brown
NEEDLES,Black Cowboy Jacket,375,mens,Cowboy Jacket,Jacket,0,366,70,Black
NEEDLES,Black H.D. Apron Trousers,560,mens,Apron Trousers,Trousers,0,366,142,Black
NEEDLES,Tan H.D. Apron Trousers,560,mens,Apron Trousers,Trousers,0,366,142,Tan
NEEDLES,Indigo Boot-Cut Jeans,315,mens,Boot-Cut Jeans,Jeans,0,366,72,Indigo
NEEDLES,Brown Cowboy Trousers,305,mens,Cowboy Trousers,Trousers,0,366,142,Brown
NEEDLES,Black Cowboy Trousers,305,mens,Cowboy Trousers,Trousers,0,366,142,Black
SOPHNET.,Black & White Moulin Zip Jacket,810,mens,Zip Jacket,Jacket,0,469,70,"Black, White"
SOPHNET.,Black & White Moulin Shirt Jacket,590,mens,Shirt Jacket,Jacket,0,469,70,"Black, White"
SOPHNET.,Black Varsity Bomber Jacket,1015,mens,Bomber Jacket,Jacket,0,469,70,Black
SOPHNET.,Black Baggy Shirt,295,mens,Baggy Shirt,Shirt,0,469,108,Black
SOPHNET.,Gray Baggy Shirt,295,mens,Baggy Shirt,Shirt,0,469,108,Gray
SOPHNET.,Gray Abstract Sweater,365,mens,Abstract Sweater,Sweater,0,469,128,Gray
SOPHNET.,Multicolor Abstract Sweater,365,mens,Abstract Sweater,Sweater,0,469,128,Multicolor
SOPHNET.,Black Gusset Cargo Pants,425,mens,Cargo Pants,Pants,0,469,91,Black
Uniform Bridge,Black Double Knee Trousers,245,mens,Knee Trousers,Trousers,0,555,142,Black
ACRONYM®,Black J70-BU Jacket,1430,mens,J70-BU Jacket,Jacket,0,16,70,Black
Helmut Lang,Black Raglan Sleeve Sweater,375,mens,Sleeve Sweater,Sweater,0,234,128,Black
Helmut Lang,Beige Buttoned Shirt,450,mens,Buttoned Shirt,Shirt,0,234,108,Beige
Helmut Lang,White Utility Shirt,325,mens,Utility Shirt,Shirt,0,234,108,White
Helmut Lang,Taupe Military Trousers,425,mens,Military Trousers,Trousers,0,234,142,Taupe
Helmut Lang,Beige Carpenter Trousers,450,mens,Carpenter Trousers,Trousers,0,234,142,Beige
Helmut Lang,Black Utility Trousers,395,mens,Utility Trousers,Trousers,0,234,142,Black
Nike,Off-White Swoosh Bomber Jacket,500,mens,Bomber Jacket,Jacket,0,378,70,White
N.Hoolywood,Gray Drop Shoulder Bomber Jacket,810,mens,Bomber Jacket,Jacket,0,363,70,Gray
Soar Running,Orange Trail Rain Jacket,325,mens,Rain Jacket,Jacket,0,497,70,Orange
Soar Running,Khaki Mock Neck Sweatshirt,145,mens,Neck Sweatshirt,Sweatshirt,0,497,130,Khaki
Soar Running,Black Race Long-Sleeve T-Shirt,115,mens,Long-Sleeve T-Shirt,T-Shirt,0,497,132,Black
Soar Running,Gray Printed Long Sleeve T-Shirt,130,mens,Sleeve T-Shirt,T-Shirt,0,497,132,Gray
Soar Running,Green Graphene Tank Top,210,mens,Tank Top,Top,0,497,140,Green
Soar Running,Navy Dual Shorts,145,mens,Dual Shorts,Shorts,0,497,111,Navy
ICECREAM,Red Embroidered Bomber Jacket,310,mens,Bomber Jacket,Jacket,0,245,70,Red
ICECREAM,White & Green Striped Cardigan,185,mens,Striped Cardigan,Cardigan,0,245,31,"Green, White"
ICECREAM,Black Piano Popover Hoodie,145,mens,Popover Hoodie,Hoodie,0,245,67,Black
ICECREAM,White Piano Popover Hoodie,145,mens,Popover Hoodie,Hoodie,0,245,67,White
ICECREAM,Black Cherub Popover Hoodie,145,mens,Popover Hoodie,Hoodie,0,245,67,Black
ICECREAM,Black Running Dog Hoodie,145,mens,Dog Hoodie,Hoodie,0,245,67,Black
ICECREAM,Black Sundae Sweatshirt,130,mens,Sundae Sweatshirt,Sweatshirt,0,245,130,Black
ICECREAM,Blue Hockey T-Shirt,110,mens,Hockey T-Shirt,T-Shirt,0,245,132,Blue
ICECREAM,Black & White Houndstooth Vest,140,mens,Houndstooth Vest,Vest,0,245,145,"Black, White"
ICECREAM,Black Sundae T-Shirt,60,mens,Sundae T-Shirt,T-Shirt,0,245,132,Black
ICECREAM,White Served Up T-Shirt,60,mens,Up T-Shirt,T-Shirt,0,245,132,White
ICECREAM,Black College T-Shirt,60,mens,College T-Shirt,T-Shirt,0,245,132,Black
ICECREAM,White College T-Shirt,60,mens,College T-Shirt,T-Shirt,0,245,132,White
ICECREAM,White Running Dog T-Shirt,60,mens,Dog T-Shirt,T-Shirt,0,245,132,White
ICECREAM,Indigo Running Dog Jeans,190,mens,Dog Jeans,Jeans,0,245,72,Indigo
ICECREAM,Blue Running Dog Jeans,190,mens,Dog Jeans,Jeans,0,245,72,Blue
ICECREAM,Gray Ancient Sweatpants,145,mens,Ancient Sweatpants,Sweatpants,0,245,129,Gray
Isabel Marant,Blue Jack Jeans,350,mens,Jack Jeans,Jeans,0,251,72,Blue
A.P.C.,Beige Lou Trench Coat,1060,mens,Trench Coat,Coat,0,12,39,Beige
A.P.C.,Navy Urban Coat,610,mens,Urban Coat,Coat,0,12,39,Navy
A.P.C.,Black Bob Faux-Leather Jacket,600,mens,Faux-Leather Jacket,Jacket,0,12,70,Black
A.P.C.,Taupe Alessio Jacket,495,mens,Alessio Jacket,Jacket,0,12,70,Taupe
A.P.C.,Blue US Denim Jacket,365,mens,Denim Jacket,Jacket,0,12,70,Blue
A.P.C.,Indigo Stitching Denim Jacket,365,mens,Denim Jacket,Jacket,0,12,70,Indigo
A.P.C.,Green Kerlouan Jacket,400,mens,Kerlouan Jacket,Jacket,0,12,70,Green
A.P.C.,Navy Kerlouan Jacket,400,mens,Kerlouan Jacket,Jacket,0,12,70,Navy
A.P.C.,White Alessio Jacket,495,mens,Alessio Jacket,Jacket,0,12,70,White
A.P.C.,Blue Edouard Shirt,230,mens,Edouard Shirt,Shirt,0,12,108,Blue
A.P.C.,Navy Alessio Jacket,495,mens,Alessio Jacket,Jacket,0,12,70,Navy
A.P.C.,Black Joe Cardigan,365,mens,Joe Cardigan,Cardigan,0,12,31,Black
A.P.C.,Navy Joe Cardigan,365,mens,Joe Cardigan,Cardigan,0,12,31,Navy
A.P.C.,Blue Malo Shirt,265,mens,Malo Shirt,Shirt,0,12,108,Blue
A.P.C.,White Greg Shirt,245,mens,Greg Shirt,Shirt,0,12,108,White
A.P.C.,Blue Greg Shirt,245,mens,Greg Shirt,Shirt,0,12,108,Blue
A.P.C.,Blue Julio Sweater,285,mens,Julio Sweater,Sweater,0,12,128,Blue
A.P.C.,Navy Julio Sweater,285,mens,Julio Sweater,Sweater,0,12,128,Navy
A.P.C.,Green Julio Sweater,285,mens,Julio Sweater,Sweater,0,12,128,Green
A.P.C.,Gray Julio Sweater,285,mens,Julio Sweater,Sweater,0,12,128,Gray
A.P.C.,Black & Off-White Alec Sweater,390,mens,Alec Sweater,Sweater,0,12,128,"Black, White"
A.P.C.,Yellow Tyler Sweater,420,mens,Tyler Sweater,Sweater,0,12,128,Yellow
A.P.C.,Off-White Tyler Sweater,420,mens,Tyler Sweater,Sweater,0,12,128,White
A.P.C.,Gray Tyler Sweater,420,mens,Tyler Sweater,Sweater,0,12,128,Gray
A.P.C.,Black Larry Hoodie,295,mens,Larry Hoodie,Hoodie,0,12,67,Black
A.P.C.,Blue Larry Hoodie,310,mens,Larry Hoodie,Hoodie,0,12,67,Blue
A.P.C.,Khaki Larry Hoodie,310,mens,Larry Hoodie,Hoodie,0,12,67,Khaki
A.P.C.,Gray Item H Hoodie,285,mens,H Hoodie,Hoodie,0,12,67,Gray
A.P.C.,Purple Item H Hoodie,285,mens,H Hoodie,Hoodie,0,12,67,Purple
A.P.C.,Navy Item H Hoodie,285,mens,H Hoodie,Hoodie,0,12,67,Navy
A.P.C.,Gray Item Sweatshirt,255,mens,Item Sweatshirt,Sweatshirt,0,12,130,Gray
A.P.C.,Black Item Sweatshirt,255,mens,Item Sweatshirt,Sweatshirt,0,12,130,Black
A.P.C.,Navy Item Sweatshirt,255,mens,Item Sweatshirt,Sweatshirt,0,12,130,Navy
A.P.C.,Navy Rufus Sweatshirt,285,mens,Rufus Sweatshirt,Sweatshirt,0,12,130,Navy
A.P.C.,Black Rufus Sweatshirt,285,mens,Rufus Sweatshirt,Sweatshirt,0,12,130,Black
A.P.C.,Navy Rider Sweatshirt,270,mens,Rider Sweatshirt,Sweatshirt,0,12,130,Navy
A.P.C.,Black Rider Sweatshirt,270,mens,Rider Sweatshirt,Sweatshirt,0,12,130,Black
A.P.C.,Gray Rider Sweatshirt,270,mens,Rider Sweatshirt,Sweatshirt,0,12,130,Gray
A.P.C.,Off-White Rider Sweatshirt,285,mens,Rider Sweatshirt,Sweatshirt,0,12,130,White
A.P.C.,Black VPC Sweatshirt,270,mens,VPC Sweatshirt,Sweatshirt,0,12,130,Black
A.P.C.,Black Oliver Long Sleeve T-Shirt,150,mens,Sleeve T-Shirt,T-Shirt,0,12,132,Black
A.P.C.,Navy Olivier Long Sleeve T-Shirt,150,mens,Sleeve T-Shirt,T-Shirt,0,12,132,Navy
A.P.C.,Green Antoine Polo,210,mens,Antoine Polo,Polo,0,12,96,Green
A.P.C.,White Austin Polo,175,mens,Austin Polo,Polo,0,12,96,White
A.P.C.,Navy Austin Polo,175,mens,Austin Polo,Polo,0,12,96,Navy
A.P.C.,Green Austin Polo,175,mens,Austin Polo,Polo,0,12,96,Green
A.P.C.,Blue Austin Polo,175,mens,Austin Polo,Polo,0,12,96,Blue
A.P.C.,Green Emilien T-Shirt,190,mens,Emilien T-Shirt,T-Shirt,0,12,132,Green
A.P.C.,Navy Emilien T-Shirt,190,mens,Emilien T-Shirt,T-Shirt,0,12,132,Navy
A.P.C.,White Kyle T-Shirt,135,mens,Kyle T-Shirt,T-Shirt,0,12,132,White
A.P.C.,Blue Kyle T-Shirt,135,mens,Kyle T-Shirt,T-Shirt,0,12,132,Blue
A.P.C.,Black Kyle T-Shirt,135,mens,Kyle T-Shirt,T-Shirt,0,12,132,Black
A.P.C.,Khaki Kyle T-Shirt,135,mens,Kyle T-Shirt,T-Shirt,0,12,132,Khaki
A.P.C.,Gray Item T-Shirt,130,mens,Item T-Shirt,T-Shirt,0,12,132,Gray
A.P.C.,Black Item T-Shirt,130,mens,Item T-Shirt,T-Shirt,0,12,132,Black
A.P.C.,Navy Item T-Shirt,130,mens,Item T-Shirt,T-Shirt,0,12,132,Navy
A.P.C.,White Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132,White
A.P.C.,Black Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132,Black
A.P.C.,Gray Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132,Gray
A.P.C.,Off-White Lewis T-Shirt,165,mens,Lewis T-Shirt,T-Shirt,0,12,132,White
A.P.C.,Off-White Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132,White
A.P.C.,Green New Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132,Green
A.P.C.,Orange New Raymond T-Shirt,135,mens,Raymond T-Shirt,T-Shirt,0,12,132,Orange
A.P.C.,White VPC T-Shirt,135,mens,VPC T-Shirt,T-Shirt,0,12,132,White
A.P.C.,Black VPC T-Shirt,135,mens,VPC T-Shirt,T-Shirt,0,12,132,Black
A.P.C.,Navy VPC T-Shirt,135,mens,VPC T-Shirt,T-Shirt,0,12,132,Navy
A.P.C.,Gray VPC T-Shirt,135,mens,VPC T-Shirt,T-Shirt,0,12,132,Gray
A.P.C.,Black Lewis T-Shirt,165,mens,Lewis T-Shirt,T-Shirt,0,12,132,Black
A.P.C.,Navy Lewis T-Shirt,165,mens,Lewis T-Shirt,T-Shirt,0,12,132,Navy
A.P.C.,Green Vincent Trousers,310,mens,Vincent Trousers,Trousers,0,12,142,Green
A.P.C.,Navy Ville Trousers,350,mens,Ville Trousers,Trousers,0,12,142,Navy
A.P.C.,Indigo Petit New Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72,Indigo
A.P.C.,Navy Petit New Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72,Navy
A.P.C.,Black Petit New Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72,Black
A.P.C.,Indigo Petit Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72,Indigo
A.P.C.,Green Petit New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72,Green
A.P.C.,Taupe Petit New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72,Taupe
A.P.C.,Black New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72,Black
A.P.C.,Blue New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72,Blue
A.P.C.,Black Petit New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72,Black
A.P.C.,Blue Petit New Standard Jeans,285,mens,Standard Jeans,Jeans,0,12,72,Blue
A.P.C.,Blue Martin Jeans,285,mens,Martin Jeans,Jeans,0,12,72,Blue
A.P.C.,Blue Petit Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72,Blue
A.P.C.,Black Petit Standard Jeans,270,mens,Standard Jeans,Jeans,0,12,72,Black
A.P.C.,Khaki Ville Trousers,350,mens,Ville Trousers,Trousers,0,12,142,Khaki
A.P.C.,Khaki Charlie Cap,130,mens,Charlie Cap,Cap,0,12,30,Khaki
A.P.C.,Navy Charlie Cap,130,mens,Charlie Cap,Cap,0,12,30,Navy
A.P.C.,Beige Charlie Cap,130,mens,Charlie Cap,Cap,0,12,30,Beige
A.P.C.,Blue Charlie Cap,130,mens,Charlie Cap,Cap,0,12,30,Blue
Sporty & Rich,Black New Drink More Water Hoodie,175,mens,Water Hoodie,Hoodie,0,507,67,Black
Sporty & Rich,Green Backhand T-Shirt,65,mens,Backhand T-Shirt,T-Shirt,0,507,132,Green
Sporty & Rich,Black New Drink More Water T-Shirt,70,mens,Water T-Shirt,T-Shirt,0,507,132,Black
Valentino Garavani,Black Toile Iconographe Backpack,1650,mens,Iconographe Backpack,Backpack,0,565,0,Black
BAPE,Blue Porter Edition Backpack,600,mens,Edition Backpack,Backpack,0,54,0,Blue
BAPE,Black Porter Edition Backpack,600,mens,Edition Backpack,Backpack,0,54,0,Black
Sky High Farm Workwear,Black Charm Tote,345,mens,Charm Tote,Tote,0,494,141,Black
Anna Sui,SSENSE Exclusive Off-White & Orange Tote,380,mens,Orange Tote,Tote,0,48,141,"White, Orange"
ERL,Orange Mini Puffer Bag,565,mens,Puffer Bag,Bag,0,166,1,Orange
Burberry,Khaki Trench Crossbody Bag,1550,mens,Crossbody Bag,Bag,0,85,1,Khaki
Valentino Garavani,Black Toile Iconographe Bag,1190,mens,Iconographe Bag,Bag,0,565,1,Black
A.P.C.,Khaki Jamie Large Neck Pouch,380,mens,Neck Pouch,Pouch,0,12,97,Khaki
BAPE,Black Porter Edition Pouch,320,mens,Edition Pouch,Pouch,0,54,97,Black
Valentino Garavani,Black Toile Iconographe Wallet,790,mens,Iconographe Wallet,Wallet,0,565,147,Black
Moon Boot,Black Icon Quilted Boots,430,mens,Quilted Boots,Boots,0,357,15,Black
Moon Boot,Brown & White Icon Low Nolace Pony Boots,495,mens,Pony Boots,Boots,0,357,15,"White, Brown"
Moon Boot,Brown Icon Low Nolace Quilted Boots,320,mens,Quilted Boots,Boots,0,357,15,Brown
Moon Boot,Black Icon Low No Lace Quilted Boots,320,mens,Quilted Boots,Boots,0,357,15,Black
ROA,Black Andreas Boots,382,mens,Andreas Boots,Boots,0,436,15,Black
Valentino Garavani,Beige Toile Iconographe Sneakers,980,mens,Iconographe Sneakers,Sneakers,0,565,118,Beige
11 by Boris Bidjan Saberi,Black Salomon Edition A.B.1 Sneakers,330,mens,A.B.1 Sneakers,Sneakers,0,3,118,Black
KANGHYUK,White & Red Reebok Classics Edition DMX Run 6 Modern Sneakers,168,mens,Modern Sneakers,Sneakers,0,271,118,"Red, White"
11 by Boris Bidjan Saberi,White Salomon Edition A.B.1 Sneakers,330,mens,A.B.1 Sneakers,Sneakers,0,3,118,White
Valentino Garavani,Black & Red Rockrunner Sneakers,1070,mens,Rockrunner Sneakers,Sneakers,0,565,118,"Black, Red"
Valentino Garavani,Black Rockstud Untitled Sneakers,890,mens,Untitled Sneakers,Sneakers,0,565,118,Black
Miharayasuhiro,Off-White Hank OG Canvas Sneakers,430,mens,Canvas Sneakers,Sneakers,0,350,118,White
Miharayasuhiro,Pink Hank OG Sole Canvas Sneakers,430,mens,Canvas Sneakers,Sneakers,0,350,118,Pink
Miharayasuhiro,Purple Hank OG Sole Canvas Sneakers,455,mens,Canvas Sneakers,Sneakers,0,350,118,Purple
Miharayasuhiro,Black Blakey OG Sole Canvas Sneakers,430,mens,Canvas Sneakers,Sneakers,0,350,118,Black
Moon Boot,Brown & White Mule No Lace Pony Slippers,370,mens,Pony Slippers,Slippers,0,357,116,"White, Brown"
Moon Boot,Brown Quilted Mules,255,mens,Quilted Mules,Mules,0,357,86,Brown
Moon Boot,Black Quilted Mules,255,mens,Quilted Mules,Mules,0,357,86,Black
Ferragamo,Black Gancini Loafers,557,mens,Gancini Loafers,Loafers,0,190,79,Black
Versace Underwear,Black Allover Towel Slippers,125,mens,Towel Slippers,Slippers,0,570,116,Black
